id,timestamp,day,qtype,question,answer,explain,reference,reference_code,reference_url,options_json,correct_key
6d09c09f16034e389f8ede59232b79db,2026-09-17T15:56:15,1,mcq,AI thực sự đang làm gì trong cuộc sống hàng ngày của chúng ta?,Tất cả các ý trên,"AI có thể thực hiện nhiều tác vụ khác nhau, bao gồm phân loại, tạo nội dung và hỗ trợ ra quyết định.",Bạn đang dùng AI mỗi ngày — nhưng thực sự bên trong nó đang làm gì?,[T01-001],output/transcript/transcript-01-clean.md#T01-001,"[""Phân loại dữ liệu"", ""Tạo ra nội dung mới"", ""Hỗ trợ ra quyết định"", ""Tất cả các ý trên""]",D
368f725f06cc45f3befb345ebf34b00e,2026-09-17T15:56:15,1,text,Hãy giải thích về cơ chế hoạt động của LLM.,"LLM hoạt động thông qua việc đọc nhiều dữ liệu, học từ ví dụ và được uốn nắn qua phản hồi của con người.",Cơ chế hoạt động của LLM bao gồm việc học từ nhiều nguồn dữ liệu và cải thiện qua phản hồi.,Bên trong LLM: cơ chế vận hành,[T01-004],output/transcript/transcript-01-clean.md#T01-004,,
0dd4e16a736343639f5874069dd91048,2026-09-17T15:56:15,1,mcq,"Khi gọi API lần đầu, điều gì là quan trọng nhất?",Chọn đúng endpoint,Chọn đúng endpoint là bước đầu tiên và quan trọng nhất khi gọi API.,Gọi API lần đầu,[T01-008],output/transcript/transcript-01-clean.md#T01-008,"[""Chọn đúng endpoint"", ""Xác thực thông tin"", ""Kiểm tra tốc độ phản hồi"", ""Tất cả các ý trên""]",A
9c49b54dcc86497782357a8be9915104,2026-09-17T15:56:15,1,mcq,AI có thể được phân loại thành những nhóm nào?,"Phân loại, sinh nội dung, hành động","AI được chia thành ba nhóm chính: phân loại, sinh nội dung và hành động.",Ba nhóm AI chính: phân loại · sinh nội dung · hành động,[T01-012],output/transcript/transcript-01-clean.md#T01-012,"[""Phân loại, sinh nội dung, hành động"", ""Dữ liệu, thuật toán, mô hình"", ""Học máy, học sâu, học tăng cường"", ""Phân tích, dự đoán, tối ưu hóa""]",A
64a7f04ecd00480dad0b7f36f982992d,2026-09-17T15:56:15,1,mcq,Bài học nào được rút ra từ cuộc cách mạng dữ liệu của Fei-Fei Li?,Dữ liệu tốt hơn đánh bại thuật toán khôn hơn,Bài học từ cuộc cách mạng dữ liệu là đôi khi dữ liệu tốt hơn có thể đánh bại thuật toán thông minh hơn.,đôi khi dữ liệu tốt hơn đánh bại thuật toán khôn hơn,[T01-015],output/transcript/transcript-01-clean.md#T01-015,"[""Dữ liệu tốt hơn đánh bại thuật toán khôn hơn"", ""Thuật toán là yếu tố quyết định"", ""Dữ liệu không quan trọng"", ""Cần nhiều thuật toán phức tạp""]",A
81b2b3b9a47b47bdb346c2c5dda3be9b,2026-09-17T15:56:15,1,mcq,Cơ chế nào cho phép model LLM chọn từ dựa trên xác suất?,Attention,Cơ chế attention cho phép model chấm điểm mức độ liên quan của từng từ trong ngữ cảnh.,"Với mọi ngữ cảnh, model chấm điểm MỌI từ trong từ vựng — “landˮ 22%, “forestˮ 9%… — rồi chọn theo xác suất đó",[T01-019],output/transcript/transcript-01-clean.md#T01-019,"[""Attention"", ""Pre-training"", ""Discriminative AI"", ""Generative AI""]",A
c9191d0f93b6480abed2377422035e43,2026-09-17T15:56:15,1,mcq,Mô hình Transformer hoạt động như thế nào?,Chấm điểm mức độ liên quan của từng từ,Mô hình Transformer sử dụng cơ chế attention để chấm điểm mức độ liên quan của từng token đối với nghĩa của mình.,Chấm điểm mức độ liên quan của từng token đối với nghĩa của mình,[T01-023],output/transcript/transcript-01-clean.md#T01-023,"[""Chỉ đọc tuần tự từng từ"", ""Chấm điểm mức độ liên quan của từng từ"", ""Chỉ sử dụng một từ để dự đoán"", ""Không sử dụng xác suất""]",B
915ddee830684d948e1f4160f3b1d3d4,2026-09-17T15:56:15,1,mcq,Quá trình nào không phải là một phần trong việc tạo ra LLM?,Tối ưu hóa thuật toán,"Quá trình tạo ra LLM bao gồm Pre-training, SFT và RLHF/DPO, không bao gồm tối ưu hóa thuật toán.","LLM được tạo ra như thế nào? — đọc nhiều, được chỉ, được uốn nắn, luyện đề",[T01-026],output/transcript/transcript-01-clean.md#T01-026,"[""Pre-training"", ""SFT"", ""RLHF/DPO"", ""Tối ưu hóa thuật toán""]",D
b3a60eca32df4c848fe81d0571aaefbc,2026-09-17T15:56:15,1,text,Giải thích về khái niệm Chain-of-Thought trong LLM.,"Chain-of-Thought là phương pháp cho phép mô hình suy luận từng bước, từ đó cải thiện độ chính xác trong câu trả lời.",Phương pháp này giúp mô hình không chỉ đưa ra đáp án mà còn giải thích quá trình suy luận.,"Cùng một model, cùng một câu hỏi — cho nó được viết nháp từng bước",[T01-030],output/transcript/transcript-01-clean.md#T01-030,,
a629959f7c724362923db5483dea4cdb,2026-09-17T15:56:15,1,text,Tại sao việc chọn model theo tầng lại quan trọng?,Việc chọn model theo tầng giúp tối ưu hóa chi phí và hiệu suất cho từng loại công việc cụ thể.,Chọn model theo tầng giúp tránh việc sử dụng model đắt cho các tác vụ đơn giản và ngược lại.,"Chọn model theo TẦNG, không chọn theo tên",[T01-034],output/transcript/transcript-01-clean.md#T01-034,,
